record_id,author_id,work_id,publication_year,institution_id,institution_name,city,country,city_country_key,latitude,longitude,source,match_status_standardized,confidence_score,linkage_valid,geocoding_valid,duplicate_flag,source_conflict_flag,multi_affiliation_flag,qa_status,qa_notes
R001,Author_A001,Work_W001,2020,Inst_I001,Example University Alpha,Example City One,Exampleland,example city one|exampleland,10.0000,20.0000,SyntheticSourceA,matched,0.98,true,true,false,false,false,ready_for_demo_analysis,
R007,Author_A007,Work_W005,2021,Inst_I005,Example Cityless Institute,,Exampleland,|exampleland,14.0000,24.0000,SyntheticSourceB,matched,0.86,true,false,false,false,false,linkage_valid_geocoding_incomplete,missing_city
R008,Author_A008,Work_W006,2022,Inst_I006,Example Countryless College,Example City Six,,example city six|,15.0000,25.0000,SyntheticSourceB,matched,0.86,true,false,false,false,false,linkage_valid_geocoding_incomplete,missing_country
R009,Author_A009,Work_W007,2022,Inst_I007,Example Coordinate Error Lab,Example City Seven,Exampleland,example city seven|exampleland,95.0000,195.0000,SyntheticSourceB,matched,0.86,true,false,false,false,false,linkage_valid_geocoding_incomplete,invalid_coordinates
R010,Author_A010,Work_W008,2022,Inst_I001,Example University Alpha,Example City One,Exampleland,example city one|exampleland,10.0000,20.0000,SyntheticSourceA,matched,0.50,false,true,false,false,false,low_confidence,confidence_below_threshold
R011,Author_A011,Work_W009,2022,Inst_I002,Example Medical Center Beta,Example City Two,Exampleland,example city two|exampleland,11.0000,21.0000,SyntheticSourceA,matched,0.95,true,true,true,false,false,ready_for_demo_analysis,duplicate_author_work_institution_key
R013,Author_A012,Work_W010,2023,Inst_I001,Example University Alpha,Example City One,Exampleland,example city one|exampleland,10.0000,20.0000,SyntheticSourceA,matched,0.94,true,true,false,false,true,ready_for_demo_analysis,author_has_multiple_institutions_on_same_work
R014,Author_A012,Work_W010,2023,Inst_I002,Example Medical Center Beta,Example City Two,Exampleland,example city two|exampleland,11.0000,21.0000,SyntheticSourceA,matched,0.94,true,true,false,false,true,ready_for_demo_analysis,author_has_multiple_institutions_on_same_work
R015,Author_A013,Work_W011,2023,Inst_I008,Example Springfield Campus North,Springfield,Exampleland,springfield|exampleland,16.0000,26.0000,SyntheticSourceA,matched,0.93,true,true,false,false,false,ready_for_demo_analysis,
R016,Author_A014,Work_W012,2023,Inst_I009,Example Springfield Campus South,Springfield,Samplestan,springfield|samplestan,17.0000,27.0000,SyntheticSourceA,matched,0.93,true,true,false,false,false,ready_for_demo_analysis,
R017,Author_A015,Work_W013,2023,Inst_I003,Example Research Institute Gamma,Example City Three,Samplestan,example city three|samplestan,12.0000,22.0000,SyntheticSourceA,matched,0.91,true,true,false,false,false,ready_for_demo_analysis,
R018,Author_A016,Work_W014,2023,Inst_I004,Example Innovation Lab Delta,Example City Four,Exampleland,example city four|exampleland,13.0000,23.0000,SyntheticSourceA,matched,0.91,true,true,false,true,false,source_conflict,source_city_or_country_conflict
