record_id,author_id,work_id,institution_id,source,confidence_score,linkage_valid,geocoding_valid,duplicate_flag,duplicate_excluded,source_conflict_flag,multi_affiliation_flag,qa_status,qa_notes,exclusion_reason
R001,Author_A001,Work_W001,Inst_I001,SyntheticSourceA,0.98,true,true,false,false,false,false,ready_for_demo_analysis,,
R002,,Work_W002,Inst_I002,SyntheticSourceA,0.92,false,true,false,false,false,false,linkage_failed,missing_author_id,missing_author_id
R003,Author_A003,,Inst_I003,SyntheticSourceA,0.90,false,true,false,false,false,false,linkage_failed,missing_work_id,missing_work_id
R004,Author_A004,Work_W003,,SyntheticSourceA,0.00,false,false,false,false,false,false,linkage_failed,confidence_below_threshold;not_geocoded_due_to_linkage_failure;missing_institution_id,missing_institution_id
R005,Author_A005,Work_W999,Inst_I001,SyntheticSourceA,0.89,false,true,false,false,false,false,linkage_failed,work_not_found,work_not_found
R006,Author_A006,Work_W004,Inst_I999,SyntheticSourceA,0.88,false,false,false,false,false,false,linkage_failed,not_geocoded_due_to_linkage_failure;institution_not_found,institution_not_found
R007,Author_A007,Work_W005,Inst_I005,SyntheticSourceB,0.86,true,false,false,false,false,false,linkage_valid_geocoding_incomplete,missing_city,
R008,Author_A008,Work_W006,Inst_I006,SyntheticSourceB,0.86,true,false,false,false,false,false,linkage_valid_geocoding_incomplete,missing_country,
R009,Author_A009,Work_W007,Inst_I007,SyntheticSourceB,0.86,true,false,false,false,false,false,linkage_valid_geocoding_incomplete,invalid_coordinates,
R010,Author_A010,Work_W008,Inst_I001,SyntheticSourceA,0.50,false,true,false,false,false,false,low_confidence,confidence_below_threshold,
R011,Author_A011,Work_W009,Inst_I002,SyntheticSourceA,0.95,true,true,true,false,false,false,ready_for_demo_analysis,duplicate_author_work_institution_key,
R012,Author_A011,Work_W009,Inst_I002,SyntheticSourceA,0.95,false,true,true,true,false,false,duplicate_excluded,duplicate_author_work_institution_key;duplicate_record,duplicate_record
R013,Author_A012,Work_W010,Inst_I001,SyntheticSourceA,0.94,true,true,false,false,false,true,ready_for_demo_analysis,author_has_multiple_institutions_on_same_work,
R014,Author_A012,Work_W010,Inst_I002,SyntheticSourceA,0.94,true,true,false,false,false,true,ready_for_demo_analysis,author_has_multiple_institutions_on_same_work,
R015,Author_A013,Work_W011,Inst_I008,SyntheticSourceA,0.93,true,true,false,false,false,false,ready_for_demo_analysis,,
R016,Author_A014,Work_W012,Inst_I009,SyntheticSourceA,0.93,true,true,false,false,false,false,ready_for_demo_analysis,,
R017,Author_A015,Work_W013,Inst_I003,SyntheticSourceA,0.91,true,true,false,false,false,false,ready_for_demo_analysis,,
R018,Author_A016,Work_W014,Inst_I004,SyntheticSourceA,0.91,true,true,false,false,true,false,source_conflict,source_city_or_country_conflict,
